q,s,yqs_var,noise_var,base_var,nqs
0,0.02,104358531398939.14,104358531398928.89,0.0,113369.0
0,0.05,900087331666287.1,900087331666299.9,0.0,113345.0
0,0.1,3520169712010546.0,3520169712010553.5,0.0,113387.0
0,0.25,3.8504414605172584e+16,3.850441460517259e+16,0.0,113343.0
0,0.5,1.790014958745448e+19,1.7900149587454472e+19,0.0,113177.0
1,0.02,686243526633890.9,686243526633891.4,0.0,3697.0
1,0.05,3419271506255566.0,3419271506255533.0,0.0,3707.0
1,0.1,1.5991689841204768e+16,1.5991689841204834e+16,0.0,3689.0
1,0.25,1.3993278827335851e+17,1.399327882733585e+17,0.0,3709.0
1,0.5,3.6458377255521174e+19,3.6458377255521174e+19,0.0,3859.0
2,0.02,1735091148632618.8,1735091148632648.2,0.0,1229.0
2,0.05,9969278580092334.0,9969278580092320.0,0.0,1233.0
2,0.1,5.154841089521952e+16,5.154841089521948e+16,0.0,1223.0
2,0.25,4.4725961330987136e+17,4.472596133098715e+17,0.0,1231.0
2,0.5,4.2044778723214977e+20,4.204477872321497e+20,0.0,1236.0
3,0.02,3283056685773971.0,3283056685773938.5,0.0,524.0
3,0.05,2.192217765173914e+16,2.1922177651739364e+16,0.0,528.0
3,0.1,9.5824874339308e+16,9.5824874339308e+16,0.0,521.0
3,0.25,9.060393259190886e+17,9.06039325919087e+17,0.0,528.0
3,0.5,3.380239876496743e+20,3.380239876496743e+20,0.0,533.0
4,0.02,1.4576985603148756e+16,1.457698560314872e+16,0.0,247.0
4,0.05,5.1720943714088664e+16,5.172094371408871e+16,0.0,249.0
4,0.1,2.4219013131996925e+17,2.4219013131996928e+17,0.0,246.0
4,0.25,2.678139820905368e+18,2.6781398209053686e+18,0.0,247.0
4,0.5,2.2034904324877183e+20,2.2034904324877186e+20,0.0,228.0
5,0.02,1.6123508954275998e+16,1.612350895427604e+16,0.0,120.0
5,0.05,1.2884768791391738e+17,1.2884768791391766e+17,0.0,122.0
5,0.1,5.016876006656817e+17,5.0168760066568154e+17,0.0,119.0
5,0.25,5.63634350631716e+18,5.636343506317158e+18,0.0,123.0
5,0.5,2.374407800670624e+20,2.374407800670624e+20,0.0,137.0
6,0.02,4.1233082901326584e+16,4.123308290132666e+16,0.0,58.0
6,0.05,1.873146208439813e+17,1.87314620843981e+17,0.0,58.0
6,0.1,1.1995683750865956e+18,1.199568375086596e+18,0.0,57.0
6,0.25,6.339488412691683e+18,6.339488412691684e+18,0.0,59.0
6,0.5,9.605084437812513e+20,9.605084437812516e+20,0.0,74.0
7,0.02,4.67691192643591e+16,4.676911926435894e+16,0.0,27.0
7,0.05,3.928254662086294e+17,3.928254662086297e+17,0.0,27.0
7,0.1,2.210816345992829e+18,2.210816345992829e+18,0.0,26.0
7,0.25,4.0435529665264206e+19,4.04355296652642e+19,0.0,26.0
7,0.5,4.007024750468235e+20,4.007024750468235e+20,0.0,35.0
8,0.02,2.581740798028256e+17,2.5817407980282554e+17,0.0,10.0
8,0.05,1.2258253461683092e+18,1.2258253461683082e+18,0.0,11.0
8,0.1,6.848556270928362e+18,6.848556270928361e+18,0.0,10.0
8,0.25,3.996437598906741e+19,3.996437598906741e+19,0.0,11.0
8,0.5,4.997161211994162e+20,4.997161211994162e+20,0.0,14.0
9,0.02,7.969929698458961e+17,7.96992969845895e+17,0.0,3.0
9,0.05,4.848993083899625e+18,4.848993083899626e+18,0.0,3.0
9,0.1,2.043040406740818e+19,2.0430404067408175e+19,0.0,3.0
9,0.25,1.2671564803940129e+20,1.2671564803940126e+20,0.0,3.0
9,0.5,1.1539934412266753e+21,1.1539934412266755e+21,0.0,4.0
